1h/4h/1d cascade, 3:1, ATR(14)x1.0, measured spread + 0.35bp/side
from 2022-01-01  (2022-01-06 -> 2026-09-22, one-year hole Sep 2023 - Sep 2024)

                 n     win     BM      z    gross    cost      net      t
POOLED        1949  27.43% 25.01%  +2.47  +0.0985  0.0615  +0.0370  +0.92

  EUR/USD        488  25.61% 25.00%  +0.31  +0.0246  0.0680  -0.0434  -0.55
  NAS100         409  25.49% 24.99%  +0.23  +0.0207  0.0370  -0.0163  -0.19
  USD/JPY        573  29.65% 25.02%  +2.55  +0.1880  0.0633  +0.1247  +1.64
  XAU/USD        479  28.30% 25.02%  +1.65  +0.1331  0.0737  +0.0595  +0.72

  by calendar year
  2022           557  27.83% 25.01%  +1.54  +0.1131  0.0606  +0.0525  +0.69
  2023           341  23.15% 25.01%  -0.79  -0.0705  0.0637  -0.1342  -1.47
  2024           162  24.07% 25.00%  -0.27  -0.0370  0.0689  -0.1060  -0.79
  2025           538  26.95% 25.01%  +1.04  +0.0781  0.0607  +0.0174  +0.23
  2026           351  33.24% 25.00%  +3.55  +0.3334  0.0587  +0.2747  +2.73
